EVENT CATEGORY,EVENT GROUP,EVENT SUBGROUP,EVENT TYPE,PLACE,EVENT START DATE,FATALITIES,INJURED / INFECTED,EVACUATED,ESTIMATED TOTAL COST,NORMALIZED TOTAL COST,EVENT END DATE,FEDERAL DFAA PAYMENTS,PROVINCIAL DFAA PAYMENTS,PROVINCIAL DEPARTMENT PAYMENTS,MUNICIPAL COSTS,OGD COSTS,INSURANCE PAYMENTS,NGO PAYMENTS,UTILITY - PEOPLE AFFECTED,MAGNITUDE
Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms,Huntingdon QC,5/31/2008 0:00,0,0,0,0,0,5/31/2008 0:00,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms,Mont̩r̩gie and Eastern Townships QC,6/10/2008 0:00,0,0,0,0,0,6/13/2008 0:00,,,,,,,,299793,0
Disaster,Natural,Meteorological - Hydrological,Wildfire,Halifax NS,6/13/2008 0:00,0,0,5000,0,0,6/13/2008 0:00,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Tornado,Lanaudi̬re QC,6/29/2008 0:00,0,0,0,0,0,6/29/2008 0:00,,,,,,,,45000,0
Disaster,Natural,Meteorological - Hydrological,Wildfire,Northern Saskatchewan,6/30/2008 0:00,0,0,2500,0,0,6/30/2008 0:00,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Tornado,Winnipeg MB,7/11/2008 0:00,0,0,0,0,0,7/11/2008 0:00,,,,,,,,15000,0
Disaster,Natural,Meteorological - Hydrological,Wildfire,Deschambault Lake SK,7/1/2008 0:00,0,0,1000,0,0,7/6/2008 0:00,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms,Lethbridge AB,7/1/2008 0:00,0,0,0,0,0,7/1/2008 0:00,,,,,,,,0,0
Incident,Technology,Explosion,Residential,Toronto ON,7/20/2008 0:00,0,10,900,0,0,7/20/2008 0:00,,,,,,,,0,0
Disaster,Natural,Geological,Landslide,Daniels Harbour NL,4/15/2007 0:00,0,0,0,223990,12053.3,4/15/2007 0:00,223990,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms,Regina SK,7/22/2008 0:00,0,0,0,0,0,7/22/2008 0:00,,,,,,,,15000,0
Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms,La Tuque QC,7/22/2008 0:00,0,0,112,0,0,7/22/2008 0:00,,,,,,,,0,0
Incident,Technology,Explosion,Non-Residential,Toronto ON,8/10/2008 0:00,2,58,12000,0,0,8/10/2008 0:00,,,,,,,,0,0
Incident,Technology,Hazardous Chemicals,Fire,Zama City AB,8/15/2008 0:00,0,3,250,0,0,8/15/2008 0:00,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Hurricane / Typhoon / Tropical Storm,Saint John NB,9/7/2008 0:00,0,0,0,675103,35500.6,9/7/2008 0:00,675103,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms,Kingston ON,9/15/2008 0:00,0,0,0,0,0,9/15/2008 0:00,,,,,,,,75000,0
Disaster,Natural,Meteorological - Hydrological,Flood,New Brunswick,4/24/1979 0:00,0,0,0,3227650,484147.5,5/7/1979 0:00,1545488,1682162,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Northeastern Saskatchewan,4/1/1995 0:00,0,0,0,7572381,518656.2,4/1/1995 0:00,4784560,2787821,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,White Rock BC,6/8/1999 0:00,0,0,30,,,6/8/1999 0:00,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,East Kooteney (Elk River-Watershed) Region and the municipalities of Sparwood ... Fernie and surrounding areas BC,6/1/1995 0:00,0,0,0,7155707,490116.9,6/1/1995 0:00,1685853,5469854,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Prince Edward Island,3/31/2003 0:00,0,0,0,2381905,139021.7,3/31/2003 0:00,1869114,512791,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Baie Verte Peninsula NL,4/17/2006 0:00,0,0,0,3235813,177954.9,4/17/2006 0:00,3235813,,,,,,,0,0
